929,1455
929,1332
929,1362
898,1143
930,1280
932,1203
936,1013
637,954
940,899
942,836
950,563
928,1476
929,1488
929,1488
930,1496
930,1515
929,1539
929,1564
930,1611
929,1353
888,1338
485,748
766,1003
724,1005
681,1003
622,972
800,994
701,897
747,900
660,902
632,914
589,1003
772,1683
619,940
464,962
540,971
723,1224
874,1443
881,1482
819,1444
786,1450
841,1476
811,1471
739,1505
893,1328
889,1277
566,870
812,1102
796,1280
796,1247
597,1201
894,1206
668,838
607,845
527,671
855,888
787,914
704,1457
506,1407
825,1309
860,1329
747,1458
766,1459
584,810
794,1293
750,849
742,807
699,576
557,738
725,687
541,843
513,798
876,1468
832,1465
799,1462
835,1316
757,1459
777,1474
770,1458
847,1311
819,1466
849,1474
886,1483
873,1606
878,1558
880,1530
882,1508
886,1492
815,1476
809,1481
802,1492
795,1507
750,1399
464,1161
929,1356
794,1470
786,1470
875,1353
808,1319
867,1342
770,1125
699,1153
789,1262
594,611
624,699
653,795
773,1545
842,824
828,689
814,562
644,992
543,1036
820,985
586,922
841,1075
822,1275
497,1064
573,1074
629,1097
711,1094
771,1078
812,1059
896,1022
502,1167
550,914
906,1349
814,1158
454,943
843,1038
786,1258
608,946
823,1235
477,1282
817,967
857,1216
592,1547
598,1595
463,1169
539,1475
487,871
764,1733
911,1353
776,1188
504,975
684,972
723,977
768,1481
507,1266
842,1800
717,1722
663,1670
946,695
929,1811
759,975
791,970
810,968
520,899
779,925
742,907
703,902
664,910
641,924
462,833
657,964
929,1389
788,1381
824,1307
870,1385
938,949
650,1619
705,1676
838,1772
548,1513
805,951
867,1105
929,1783
775,1768
476,1277
847,1484
841,1495
837,1513
832,1537
818,1581
784,1464
772,1459
760,1451
717,1424
560,1301
869,1046
851,945
823,946
792,1459
555,1412
885,952
794,1631
933,1138
896,1085
935,1077
837,1183
929,1733
930,1668
859,1662
699,1527
751,1292
743,1585
652,1275
709,1335
614,1345
844,1724
813,1202
662,1566
717,1627
663,1465
518,1348
608,1470
497,1378
673,1387
841,1131
834,1303
807,1300
853,1276
819,911
751,887
690,879
639,881
604,894
579,959
458,1064
614,1026
660,1044
717,1046
770,1037
809,1025
835,1013
459,1050
808,1306
866,1159
863,1316
886,1336
863,1319
820,1318
893,1344
898,1347
831,974
856,990
868,1004
629,934
611,926
969,1145
1247,970
971,1340
1413,770
1114,1013
1157,1018
1200,1017
1261,988
1080,1003
1186,910
1139,910
1227,917
1254,930
1293,1022
1088,1691
1265,957
1422,983
1345,990
1148,1236
984,1445
978,1485
1040,1450
1075,1456
1018,1480
1049,1477
1123,1515
966,1330
972,1278
1324,889
1063,1109
1067,1287
1069,1255
1277,1219
970,1208
1221,851
1282,861
1375,692
1028,892
1098,922
1159,1469
1362,1426
1036,1316
1000,1333
1115,1467
1097,1467
1308,827
1069,1301
1136,858
1147,817
1202,589
1340,757
1170,698
1351,863
1382,819
982,1471
1028,1470
1062,1468
1026,1322
1105,1467
1084,1481
1092,1466
1013,1316
1042,1471
1011,1478
973,1485
986,1609
981,1561
979,1533
977,1510
974,1495
1047,1481
1052,1486
1059,1498
1066,1514
1113,1409
1413,1181
1068,1476
1076,1477
984,1356
1054,1326
992,1345
1105,1135
1176,1166
1076,1271
1308,629
1272,715
1238,809
1088,1553
1045,829
1065,695
1087,569
1238,1008
1338,1056
1060,992
1301,940
1034,1081
1040,1282
1383,1086
1306,1093
1249,1114
1166,1107
1106,1087
1065,1067
978,1024
1374,1189
1338,933
951,1350
1058,1166
1434,965
1033,1044
1080,1267
1276,963
1042,1241
1396,1301
1064,973
1007,1220
1272,1563
1265,1610
1413,1190
1326,1492
1404,892
1097,1740
947,1354
1095,1197
1381,995
1198,987
1159,989
1094,1489
1364,1286
1018,1804
1144,1732
1200,1682
1123,986
1090,978
1072,976
1369,918
1105,934
1144,917
1183,915
1221,924
1244,939
1431,855
1226,980
1073,1389
1037,1313
990,1388
1212,1632
1156,1687
1021,1776
1316,1529
1077,958
1004,1109
1086,1775
1395,1297
1014,1488
1019,1499
1023,1517
1028,1542
1043,1586
1078,1471
1090,1468
1102,1460
1145,1435
1310,1320
1005,1050
1030,950
1059,952
1069,1466
1312,1430
993,955
1067,1637
974,1087
1031,1189
1000,1666
1164,1539
1116,1302
1119,1595
1218,1290
1157,1347
1254,1362
1015,1729
1055,1210
1200,1578
1144,1638
1201,1479
1352,1368
1256,1486
1371,1397
1192,1400
1030,1137
1027,1308
1055,1307
1009,1280
1064,918
1135,897
1197,893
1248,897
1283,912
1305,977
1423,1086
1267,1043
1220,1059
1162,1058
1109,1047
1070,1032
1044,1019
1424,1071
1053,1313
1002,1163
997,1319
973,1338
997,1323
1042,1325
965,1345
961,1349
1049,980
1023,996
1010,1009
1256,950
1275,943
